Evidence,variation piece 1,variation piece 1,variation piece 3,,,,,,,,,,,,,,,,,,,,,,
knife,This knife was discovered hidden underneath the floorboards wrapped in deer skin. ,This bone-handled knife was often carried by the suspect. ,This knife with a twisted blade with dark engravings was found with the suspect at the time of arrest. ,,,,,,,,,,,,,,,,,,,,,,
Gun,This gun survived their house fire without a mark.,This gun was made by an unknown manufacturer.,This gun has a symbol on the handle and has been in the family for generations. ,,,,,,,,,,,,,,,,,,,,,,
Diary,This diary does not have dates written on each page.,One of the pages of this diary describes sleeping in the town cemetery.,This diary has a strange language written in it.,,,,,,,,,,,,,,,,,,,,,,
Doll,This doll looks very similar to their sister.,This doll was found burried in their backyard.,The doll has drops of blood and multiple stab marks.,,,,,,,,,,,,,,,,,,,,,,
Rope,This rope was found tied to their bed post.,This rope was used to hang a skinned pig in the woods.,The rope shows unusual marks of wear.,,,,,,,,,,,,,,,,,,,,,,
Dead Cat,Their family cat was discovered on the steps of the church with the skin inside out.,The suspect is accused of eating his neighbor's white cat.,This cat is a perfect representation of the devil's work.,,,,,,,,,,,,,,,,,,,,,,
Poultice,Herbs and spices should not be put on open wounds. People are not food.,Natural remedies may be a mark of the antichrist.,Unknown Foreigners brought this dark magic into town.,,,,,,,,,,,,,,,,,,,,,,
Broken Cross,This denies the holy doctrine,Last time this happened the township was hit by a tornado.,Jesus did not die for heretics.,,,,,,,,,,,,,,,,,,,,,,
Blue Necklace,The mark of a harlot.,"No, it is NOT the titanic one.",Accusers say this necklace causes married women to kill their spouses.,,,,,,,,,,,,,,,,,,,,,,
Nightmares in the Town,Half of the town claims to have had dreams that the accused eats children.,The accused shares openly that they dream of dead people.,The reverend claims that nightmares are a sign of coming judgement for harboring witches in the town.,,,,,,,,,,,,,,,,,,,,,,
Household immunity,The children of the accused were untouched by the sickness that killed many children.,"All of their neighbors pigs mysteriously died, but only one of the accused goats died.",The plague did not dare to enter this person's house and partake on their table.,,,,,,,,,,,,,,,,,,,,,,
Eye-Witness Statement,Bartholomew witnessed them arguing with the reverend's wife after church.,"Jerry, the dentist, saw abnormal levels of blood in their mouth.","Camila, the housekeeper, claims to have seen this person eating weird food.",,,,,,,,,,,,,,,,,,,,,,
Missing livestock,The mayor's horse was found dead in front of the house of the accused.,Their cattle has reduced drastically in the last month due to unknown circumstances.,They are accused of being vegetarian and having a box full of chicken feet.,,,,,,,,,,,,,,,,,,,,,,
candles,They have a colorful circle of candles around their house.,They have never changed a single candle wax on their front porch and the wick is never burnt.,"They claim that candles ""smell good"".",,,,,,,,,,,,,,,,,,,,,,
Sleepwalks (outside),The sheriff caught them walking towards the vineyard at 3am and they gave no explanation.,Their daughter sees them standing in the fireplace every night but they are unharmed by the flames.,They only sleepwalk at night. Sleepwalking in the day is less ominous.,,,,,,,,,,,,,,,,,,,,,,
Church Attendance,Luke-warm Christian. Poser.,Devout follower of Jesus Christ our savior. Never missed a service.,They skip church every full-moon.,,,,,,,,,,,,,,,,,,,,,,
Dead Family Member,Their uncle Ruckus was sentenced to death 4 springs ago. Ruckus was a witch.,Their youngest son was found in the woods eaten by wolves. Sacrifice to the sons of Satan?,Their father died after choking on a carrot bone. Carrots don't have bones.,,,,,,,,,,,,,,,,,,,,,,
Occupation,Butcher,Blacksmith,Schizofrenic,Woman,Writer,Barber,Doctor,Roofer,Seamstress,,,,,,,,,,,,,,,,
Book ,This book's cover was tested and inspected! It was human-skin.,A book was found in their house and was written in an unrecognizable language.,Bloody feathers were found stamped inside the front cover.,,,,,,,,,,,,,,,,,,,,,,
Nationality,English,French,Dutch,Brazillian,Mexican,American,African,Jamaican,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
